Operation,Time
readDataFromFile,36.8178
allocateInputData,0.726513
allocateOutputData,2.4583
SubmissionCopyToDevice,0.00750556
ExecutionCopyToDevice,0.0725306
SubmissionMakeClusters,0.0264
ExecutionMakeClusters,0.196016
SubmissionCopyToHost,0.165929
ExecutionCopyToHost,0.167665
writeDataToFile,73.1098
freeInputData,0.10399
freeOutputData,0.354442
