Operation,Time
allocateInputData,0.039188
readDataFromFile,27.5142
allocateOutputData,0.032939
kernelSubmission,0.0638093
kernelExecution,3.47693
writeDataToFile,338.115
freeInputData,1.15795
freeOutputData,0.165215
