Operation,Time_Classic,Time_Unified,Time_NoPrefetch
readDataFromFile,45.574079999999995,47.76524,47.84746
allocateInputData,0.2646642,0.2379375,0.2358231
allocateOutputData,1.608895,1.548387,1.573166
SubmissionCopyToDevice,0.01177242,0.4310175,0.40145549999999997
ExecutionCopyToDevice,0.09840044,0.442581,0.4018882
SubmissionMakeClusters,0.03504411,0.02912965,0.03594761
ExecutionMakeClusters,19.97677,22.53902,21.34716
SubmissionCopyToHost,0.1747487,1.146404,0.1945847
ExecutionCopyToHost,0.18747940000000002,1.160225,0.1949447
writeDataToFile,261.8897,108.8172,105.8154
freeInputData,0.6233032000000001,1.0337359,2.5980049999999997
freeOutputData,0.0332312,2.0730530000000003,2.020166
